feature_family,task,m,r_multiplier,accuracy,f1_macro,f1_weighted,std_accuracy,wavelet,level,n,window_size_sec,method,min_window,threshold,multiscale,order,delay,window,nperseg,overlap_ratio
dwt,ternary,,,0.962,0.9598971679571766,0.961961824517556,0.0097979589711327,db8,5.0,,,,,,,,,,,
dwt,ternary,,,0.97,0.965458439541127,0.9698365516194972,0.0141421356237309,db8,6.0,,,,,,,,,,,
dwt,ternary,,,0.968,0.967483350275958,0.9678772319452016,0.0213541565040626,sym2,3.0,,,,,,,,,,,
dwt,ternary,,,0.958,0.958536604273536,0.9580368339737836,0.0203960780543711,sym2,4.0,,,,,,,,,,,
dwt,ternary,,,0.97,0.970223773309568,0.9699561736591272,0.0219089023002066,sym2,5.0,,,,,,,,,,,
dwt,ternary,,,0.974,0.9736231957685768,0.9740354806099376,0.0135646599662505,sym2,6.0,,,,,,,,,,,
dwt,ternary,,,0.972,0.9699564424640028,0.9719590068011988,0.0074833147735478,sym4,3.0,,,,,,,,,,,
dwt,ternary,,,0.968,0.9669841490274028,0.9681238564088804,0.016,sym4,4.0,,,,,,,,,,,
dwt,ternary,,,0.964,0.963641964466758,0.9641132349361066,0.021540659228538,sym4,5.0,,,,,,,,,,,
dwt,ternary,,,0.97,0.9694533807106908,0.9700573435661156,0.0219089023002066,sym4,6.0,,,,,,,,,,,
dwt,ternary,,,0.966,0.965038609756246,0.9658639211892937,0.0149666295470957,sym6,3.0,,,,,,,,,,,
dwt,ternary,,,0.966,0.9642756329561828,0.9660780024310148,0.0048989794855663,sym6,4.0,,,,,,,,,,,
dwt,ternary,,,0.97,0.9663091867479432,0.9702272456395044,0.0141421356237309,sym6,5.0,,,,,,,,,,,
dwt,ternary,,,0.972,0.9685535018070328,0.9721123429023312,0.014696938456699,sym6,6.0,,,,,,,,,,,
dwt,ternary,,,0.956,0.9524858814948348,0.9559151975064292,0.0149666295470957,coif1,3.0,,,,,,,,,,,
dwt,ternary,,,0.958,0.9561665243602938,0.958006019504782,0.0193907194296652,coif1,4.0,,,,,,,,,,,
dwt,ternary,,,0.962,0.9605839952774786,0.96222736247315,0.0116619037896906,coif1,5.0,,,,,,,,,,,
dwt,ternary,,,0.96,0.956988196468674,0.9601300061201864,0.020976176963403,coif1,6.0,,,,,,,,,,,
dwt,ternary,,,0.97,0.9691305502460484,0.9699383452769432,0.0089442719099991,coif3,3.0,,,,,,,,,,,
dwt,ternary,,,0.966,0.965412793317726,0.9661842484506554,0.008,coif3,4.0,,,,,,,,,,,
dwt,ternary,,,0.978,0.9753839590938796,0.97814964738204,0.014696938456699,coif3,5.0,,,,,,,,,,,
dwt,ternary,,,0.976,0.9737371062446666,0.9761734239629845,0.0135646599662505,coif3,6.0,,,,,,,,,,,
fuzzen,binary,1.0,0.1,0.8466666666666667,0.8247634285284888,0.845308766995514,0.046427960923947,,,1.0,,,,,,,,,,
fuzzen,binary,1.0,0.1,0.7366666666666667,0.708798581093056,0.7375834143271015,0.0878129324821299,,,2.0,,,,,,,,,,
fuzzen,binary,1.0,0.1,0.7533333333333333,0.7245707341251364,0.7523260479107794,0.0678232998312527,,,3.0,,,,,,,,,,
fuzzen,binary,1.0,0.2,0.8066666666666666,0.7828217361807435,0.8066520567447683,0.0309120616516523,,,1.0,,,,,,,,,,
fuzzen,binary,1.0,0.2,0.7633333333333333,0.7383397076203222,0.7646284914168,0.0323178657161088,,,2.0,,,,,,,,,,
fuzzen,binary,1.0,0.2,0.7633333333333333,0.7355394692411896,0.762289881783137,0.0755718936583642,,,3.0,,,,,,,,,,
fuzzen,binary,1.0,0.3,0.8066666666666666,0.7799340257589975,0.8050220511052751,0.0442216638714053,,,1.0,,,,,,,,,,
fuzzen,binary,1.0,0.3,0.7366666666666667,0.7087738106425099,0.737380752649024,0.0551764845241561,,,2.0,,,,,,,,,,
fuzzen,binary,1.0,0.3,0.7466666666666666,0.7193811071277121,0.7463219365495007,0.0686375342732466,,,3.0,,,,,,,,,,
fuzzen,binary,2.0,0.1,0.9433333333333334,0.9347944647944648,0.9426319359652692,0.0249443825784929,,,1.0,,,,,,,,,,
fuzzen,binary,2.0,0.1,0.7,0.657765614332044,0.6965723098957884,0.0235702260395515,,,2.0,,,,,,,,,,
fuzzen,binary,2.0,0.1,0.7033333333333334,0.67248898313703,0.7037881511344234,0.0385861230093007,,,3.0,,,,,,,,,,
fuzzen,binary,2.0,0.2,0.93,0.9196126912303384,0.9291661279896576,0.0266666666666666,,,1.0,,,,,,,,,,
fuzzen,binary,2.0,0.2,0.6633333333333333,0.611974064912338,0.6561088696208875,0.0694422221866655,,,2.0,,,,,,,,,,
